year,month,date,name,link,city,country,twitter
2019,January,January 15-18,rstudio::conf,https://www.rstudio.com/conference/,Austin,USA,NA
2018,January,"January 31, Feb 1-3",rstudio::conf,https://www.rstudio.com/conference/,San Diego,USA,NA
2018,March,March 17th,SatRday,http://capetown2018.satrdays.org/,Cape Town,South Africa,NA
2018,April,April 20-21,New York R Conference,http://rstats.nyc/,New York,USA,NA
2018,May,May,The European #rstats Users Meeting,http://2018.erum.io/,Budapest,Hungary,NA
2018,May,May 22,R Day,http://rday.leg.ufpr.br/,Curitiba,Brazil,LEG_UFPR
2018,June,June 1-2,R/Finance 2018,http://www.rinfinance.com,Chicago,USA,NA
2018,June,June 2,CascadiaRConf,https://www.cascadiarconf.com,Portland,USA,cascadiarconf
2018,July,July 2-5,WhyR? 2018,http://whyr2018.pl/,Wroclaw,Poland,NA
2018,July,July 4-6,7eme rencontres R,https://r2018-rennes.sciencesconf.org,Rennes,France,rencontres_R
2018,July,July 10-13,useR! 2018,https://user2018.r-project.org/,Brisbane,Australia,NA
2018,July,July,Noreast'R Conference,http://noreastrconf.com/,Providence,USA,noreastrconf
2018,September,September 4-5,LatinR 2018,http://latin-r.com/,Buenos Aires,Argentina,NA
2018,September,September 11-13,EARL London 2018,https://earlconf.com/london/,London,United Kingdom,earlconf
2018,November,November 7,EARL Seattle,https://earlconf.com/boston,Seattle,USA,earlconf
2018,November,November 9,EARL Houston,https://earlconf.com/boston,Houston,USA,earlconf
2018,November,November 13,EARL Boston,https://earlconf.com/boston,Boston,USA,earlconf
2017,January,January 11-14,rstudio::conf,https://www.rstudio.com/conference/,Kissmmee,USA,NA
2017,February,February 16-18,satRday,http://satrdays.org/capetown2017/,Cape Town,South Africa,satRdays_org
2017,March,March 4,#ODDZurich Hackathon,http://zurich-r-user-group.github.io/hackathon.html,Zurich,Switzerland,ZurichRUsers
2017,March,March 24-25,Women in Machine Learning & Data Science,http://www.wimldsdatadive.com/hackathons/2,New York,USA,NA
2017,April,April 21-22,New York R Conference 2017,http://www.rstats.nyc,New York,USA,NA
2017,May,May 19-20,R/Finance 2017,http://www.rinfinance.com,Chicago,USA,NA
2017,May,May 25-26,R à Québec 2017,http://raquebec.ulaval.ca/2017/,NA,NA,NA
2017,May,May 25-26,ROpenSci Unconference,https://ropensci.org/community/events.html,Los Angeles,USA,NA
2017,May,May 28-Jun 2,WOMBAT MeDaScIn 2017,http://www.datasciencemelbourne.com/medascin2017/,Melbourne,Australia,NA
2017,June,June 3,CascadiaRconf,https://cascadiarconf.com/2017,Portland,USA,cascadiarconf
2017,June,June 5-7,EARL,http://www.mango-solutions.com/wp/2017/01/earl-2017-abstract-submissions-open-for-san-francisco-and-london-san-francisco-dates-and-venue-announced/,San Francisco,USA,NA
2017,June,June 8,R in Insurance,https://rininsurance17.sciencesconf.org/,Paris,France,NA
2017,July,July 4-7,UseR! 2017,http://www.user2017.brussels/,Brussels,Belgium,UseR_Brussels
2017,July,July 5,Riot,http://riotworkshop.github.io/,NA,NA,NA
2017,July,July 27-28,BioC 2017,https://www.bioconductor.org/help/course-materials/2017/BioC2017/,Boston,USA,NA
2017,September,September 13-15,EARL London 2017,https://earlconf.com/london/,London,UK,NA
2017,November,November 1-3,EARL Boston 2017,https://earlconf.com/boston/,Boston,USA,NA
2017,November,November 6-7,New Challenges for Statistical Software - The Use of R in Official Statistics,http://www.r-project.ro/conference2017/,Bucharest,Romania,NA
2017,November,November 8-9,R Kenntnis-Tage 2017,http://www.eoda.de/de/R-Kenntnis-Tage.html,Kassel,Germany,NA
2017,November,November 16-17,Bioconductor Asia,https://www.abacbs.org/conference-workshops#bioc2017-link,Adelaide,Australia,NA
2017,December,December 5-6,Bioconductor European Conference,https://bioconductor.org/help/course-materials/2017/BioCEurope/,Cambridge,UK,NA
2016,December,April,New York R Conference 2016,http://www.rstats.nyc,New York,USA,NA
2016,December,May,R/Finance 2016,http://www.rinfinance.com,Chicago,USA,NA
2016,December,July,UseR! 2016,http://user2016.org/,Stanford,USA,NA
2016,December,September,EARL London 2016,https://earlconf.com/london/,London,UK,NA
2016,December,September,The first satRday conference,http://budapest.satrdays.org,Budapest,Hungary,NA
2016,December,October,European R users meeting,http://erum.ue.poznan.pl/,Poznan,Poland,NA
2016,December,November,EARL Boston 2016,https://earlconf.com/boston/,Boston,USA,NA
2016,December,December,European Bioconductor Developers' Meeting,http://scicore.ch/events/eurobioc2016/,Basel,Switzerland,NA
