page,country,city,group_name,link,twitter
R-Ladies Groups,Argentina,Buenos Aires,R-Ladies Buenos Aires,https://www.meetup.com/rladies-buenos-aires/,NA
R-Ladies Groups,Argentina,Santa Rosa,R-Ladies Santa Rosa,https://www.meetup.com/rladies-santa-rosa/,NA
R-Ladies Groups,Australia,Adelaide,R-Ladies Adelaide,https://www.meetup.com/rladies-adelaide/,NA
R-Ladies Groups,Australia,Melbourne,R-Ladies Melbourne,https://www.meetup.com/R-Ladies-Melbourne/,RLadiesAU
R-Ladies Groups,Belgium,Brussels,R-Ladies Brussels,https://www.meetup.com/R-Ladies-Brussels/members/,NA
R-Ladies Groups,Brazil,Rio-de-Janeiro,R-Ladies Rio-de-Janeiro,https://www.meetup.com/R-Ladies-Rio-de-Janeiro,RLadiesRio
R-Ladies Groups,France,Paris,Paris,https://www.meetup.com/rladies-paris/,NA
R-Ladies Groups,Germany,Berlin,R-Ladies Berlin,https://www.meetup.com/rladies-berlin/,RLadiesBerlin
R-Ladies Groups,Germany,Munich,R-Ladies Munich,https://www.meetup.com/rladies-munich,NA
R-Ladies Groups,Georgia,Tbilisi,R-Ladies Tbilisi,https://www.meetup.com/R-Ladies-Tbilisi/,NA
R-Ladies Groups,Ireland,Dublin,R-Ladies Dublin,https://www.meetup.com/R-Ladies-Dublin/,NA
R-Ladies Groups,Peru,Lima,R-Ladies Lima,https://twitter.com/RLadiesLima,NA
R-Ladies Groups,Poland,Warsaw,Spotkania Entuzjastów R,https://www.meetup.com/Spotkania-Entuzjastow-R-Warsaw-R-Users-Group-Meetup/,NA
R-Ladies Groups,Portugal,Lisbon,R-Ladies Lisboa,https://www.meetup.com/R-Ladies-Lisboa/,NA
R-Ladies Groups,South Africa,Cape Town,R-Ladies Cape Town,https://www.meetup.com/R-Ladies-Cape-Town/,NA
R-Ladies Groups,Spain,Madrid,Madrid,https://www.meetup.com/rladies-madrid,RLadiesMAD
R-Ladies Groups,Spain,Barcelona,Barcelona,https://www.meetup.com/es-ES/rladies-barcelona/,RLadiesBCN
R-Ladies Groups,Spain,Valencia,Valencia,https://twitter.com/RLadiesValencia,NA
R-Ladies Groups,Taipei,Taipei,R-Ladies Taipei,https://www.meetup.com/R-Ladies-Taipei/,NA
R-Ladies Groups,Turkey,Istanbul,R-Ladies Istanbul,https://www.meetup.com/R-Ladies-Istanbul/,NA
R-Ladies Groups,United Kingdom,London,R-Ladies London,https://www.meetup.com/rladies-london/,NA
R-Ladies Groups,United States of America,"Los Angeles, CA",R-Ladies Los Angeles,https://www.meetup.com/rladies-la/,NA
R-Ladies Groups,United States of America,San Francisco,R-Ladies SF,https://www.meetup.com/rladies-san-francisco/,RLadiesSF
R-Ladies Groups,United States of America,"Miami, FL",R-Ladies Miami,https://www.meetup.com/R-Ladies-Miami/,NA
R-Ladies Groups,United States of America,"Orlando, FL",R-Ladies Orlando,https://www.meetup.com/R-Ladies-Orlando/,NA
R-Ladies Groups,United States of America,"Ames, IO",R-Ladies Ames,https://www.meetup.com/R-Ladies-Ames/,RLadiesAmes
R-Ladies Groups,United States of America,"Boston, MA",R-Ladies Boston,https://www.meetup.com/R-Ladies-Boston/,NA
R-Ladies Groups,United States of America,"Buffalo, NY",R-Ladies Buffalo,https://www.meetup.com/RLadies-Buffalo/,NA
R-Ladies Groups,United States of America,"New York, NY",R-Ladies New York,https://www.meetup.com/rladies-newyork/,NA
R-Ladies Groups,United States of America,"Durham, NC",R-Ladies RTP,https://www.meetup.com/R-Ladies-RTP/,NA
R-Ladies Groups,United States of America,"Minneapolis, MN",R ladies - Twin Cities,https://www.meetup.com/RLadiesTC/,NA
R-Ladies Groups,United States of America,"Washington, DC",R-Ladies DC,https://www.meetup.com/rladies-dc/,NA
R-Ladies Groups,United States of America,"Hartford, CT",R-Ladies Connecticut,https://www.meetup.com/rladies-connecticut/,RLadiesCT
R-Ladies Groups,United States of America,"Columbus, OH",R-Ladies Columbus,https://www.meetup.com/RLadies-Columbus/,NA
R-Ladies Groups,United States of America,"Nashville, TN",R-Ladies Nashville,https://www.meetup.com/rladies-nashville/,NA
R-Ladies Groups,United States of America,"Austin, TX",R-Ladies Austin,https://meetup.com/rladies-austin,NA
R-Ladies Groups,United States of America,"Portland, OR",R-Ladies PDX,https://www.meetup.com/R-Ladies-PDX/,RLadiesPDX
R-Ladies Groups,United States of America,"San Diego, CA",R-Ladies San Diego,https://www.meetup.com/rladies-san-diego/,RLadiesSanDiego
R-Ladies Groups,Uruguay,Montevideo,R-Ladies Montevideo,https://www.meetup.com/rladies-montevideo/,NA
Asia,China,Xiamen,XMU-R,https://www.meetup.com/RGROUP/,NA
Asia,Hong Kong,Hong Kong,Hong Kong R User Group,https://www.facebook.com/groups/hkrusers/,NA
